Name,URL,Description,Image,Rating,Rating Count,Content Rating,Genre,Duration
Breaking Bad,https://www.imdb.com/title/tt0903747/,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family&apos;s future.,https://m.media-amazon.com/images/M/MV5BYmQ4YWMxYjUtNjZmYi00MDQ1LWFjMjMtNjA5ZDdiYjdiODU5XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_.jpg,9.5,2157843,18,"Crime, Drama, Thriller",
Planet Earth II,https://www.imdb.com/title/tt5491994/,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,https://m.media-amazon.com/images/M/MV5BMGZmYmQ5NGQtNWQ1MC00NWZlLTg0MjYtYjJjMzQ5ODgxYzRkXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,9.5,159349,PG,Documentary,
Planet Earth,https://www.imdb.com/title/tt0795176/,"A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenbo...",https://m.media-amazon.com/images/M/MV5BMzMyYjg0MGMtMTlkMy00OGFiLWFiNTYtYmFmZWNmMDFlMzkwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,9.4,221227,PG,"Documentary, Family",
Band of Brothers,https://www.imdb.com/title/tt0185906/,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",https://m.media-amazon.com/images/M/MV5BMTI3ODc2ODc0M15BMl5BanBnXkFtZTYwMjgzNjc3._V1_.jpg,9.4,532378,15,"Drama, History, War",
Chernobyl,https://www.imdb.com/title/tt7366338/,"In April 1986, the city of Chernobyl in the Soviet Union suffers one of the worst nuclear disasters in the history of mankind. Consequently, many heroes put their lives on the line in the following days, weeks and months.",https://m.media-amazon.com/images/M/MV5BNTdkN2QwMDItMDVhNS00ZjFiLWEzNTctMzY5ODQzYWNkMDllXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_.jpg,9.3,875326,15,"Drama, History, Thriller",
The Wire,https://www.imdb.com/title/tt0306414/,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",https://m.media-amazon.com/images/M/MV5BZmY5ZDMxODEtNWIwOS00NjdkLTkyMjktNWRjMDhmYjJjN2RmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,9.3,380629,18,"Crime, Drama, Thriller",
Avatar: The Last Airbender,https://www.imdb.com/title/tt0417299/,"In a war-torn world of elemental powers, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",https://m.media-amazon.com/images/M/MV5BODc5YTBhMTItMjhkNi00ZTIxLWI0YjAtNTZmOTY0YjRlZGQ0XkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_.jpg,9.3,377702,PG,"Animation, Action, Adventure",
Blue Planet II,https://www.imdb.com/title/tt6769208/,"David Attenborough returns to the world&apos;s oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.",https://m.media-amazon.com/images/M/MV5BNDZiNDllMTAtOTgxZi00NzNiLWFhNzUtOGUwZWZjZGNjZTMyXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,9.3,47288,U,Documentary,
The Sopranos,https://www.imdb.com/title/tt0141842/,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",https://m.media-amazon.com/images/M/MV5BZTZkMWVkNTEtYzMxMC00MzQzLTg5NjUtNTNmN2M2NzEwNzI0XkEyXkFqcGdeQXVyMTY3MDE5MDY1._V1_.jpg,9.2,477274,18,"Crime, Drama",
Cosmos: A Spacetime Odyssey,https://www.imdb.com/title/tt2395695/,An exploration of our discovery of the laws of nature and coordinates in space and time.,https://m.media-amazon.com/images/M/MV5BZTk5OTQyZjYtMDk3Yy00YjhmLWE2MTYtZmY4NTg1YWUzZTQ0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,9.2,129471,PG,Documentary,
Cosmos,https://www.imdb.com/title/tt0081846/,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,https://m.media-amazon.com/images/M/MV5BM2YzYzc0OWUtNmIwZi00MTBlLThjYTgtYmU1ODlhMzdjMzdjXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,9.3,44676,U,Documentary,
Our Planet,https://www.imdb.com/title/tt9253866/,"Explores and unravels the mystery of how and why animals migrate, showing some of the most dramatic and compelling stories in the natural world through spectacular and innovative cinematography.",https://m.media-amazon.com/images/M/MV5BZmM2OWEyN2EtZWY2NS00ZDA3LWFlNTAtNzUzMGQwZWVlZmE4XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,9.3,51997,U,Documentary,
Game of Thrones,https://www.imdb.com/title/tt0944947/,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",https://m.media-amazon.com/images/M/MV5BN2IzYzBiOTQtNGZmMi00NDI5LTgxMzMtN2EzZjA1NjhlOGMxXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,9.2,2301971,18,"Action, Adventure, Drama",
The World at War,https://www.imdb.com/title/tt0071075/,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.",https://m.media-amazon.com/images/M/MV5BOTI1NDAxMWQtOThkOS00MWIwLWJlNGQtNGJhNGIzZTkxYTcwXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_.jpg,9.2,30054,15,"Documentary, History, War",
Bluey,https://www.imdb.com/title/tt7678620/,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,https://m.media-amazon.com/images/M/MV5BMDBiNDI3YjQtNDdkNS00ZDliLTlmMmQtMDE4ZWM1ZGIyNjljXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_.jpg,9.4,29775,U,"Animation, Family",
Hagane no renkinjutsushi,https://www.imdb.com/title/tt1355642/,Two brothers search for a Philosopher&apos;s Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,https://m.media-amazon.com/images/M/MV5BZmEzN2YzOTItMDI5MS00MGU4LWI1NWQtOTg5ZThhNGQwYTEzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,9.1,199416,PG,"Animation, Action, Adventure",
Rick and Morty,https://www.imdb.com/title/tt2861424/,The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.,https://m.media-amazon.com/images/M/MV5BZjRjOTFkOTktZWUzMi00YzMyLThkMmYtMjEwNmQyNzliYTNmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_.jpg,9.1,607656,15,"Animation, Adventure, Comedy",
Life,https://www.imdb.com/title/tt1533395/,David Attenborough&apos;s legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evolutionary groups of creatures.,https://m.media-amazon.com/images/M/MV5BNjJhMTAxZjYtNWZkYy00Nzg1LTlkYjItZTNhZWRjNzkxMDg3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,9.1,43002,E,Documentary,
The Last Dance,https://www.imdb.com/title/tt8420184/,"Led by Michael Jordan, the 1990s Chicago Bulls establish themselves as one of the most notable dynasties in sports history.",https://m.media-amazon.com/images/M/MV5BY2U1ZTU4OWItNGU2MC00MTg1LTk4NzUtYTk3ODhjYjI0MzlmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,9.1,154085,15,"Documentary, Biography, History",
The Twilight Zone,https://www.imdb.com/title/tt0052520/,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",https://m.media-amazon.com/images/M/MV5BNTAzMDI5MzgtMGNkMC00MzllLWJhNjctNjA1NmViNGUxMzYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,9.1,94184,12,"Drama, Fantasy, Horror",
Sherlock,https://www.imdb.com/title/tt1475582/,"The quirky spin on Conan Doyle&apos;s iconic sleuth pitches him as a &quot;high-functioning sociopath&quot; in modern-day London. Assisting him in his investigations: Afghanistan War vet John Watson, who&apos;s introduced to Holmes by a mutual acquai...",https://m.media-amazon.com/images/M/MV5BMWEzNTFlMTQtMzhjOS00MzQ1LWJjNjgtY2RhMjFhYjQwYjIzXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_.jpg,9.1,1005909,15,"Crime, Drama, Mystery",
The Vietnam War,https://www.imdb.com/title/tt1877514/,A comprehensive history of the United States&apos; involvement in the bitterly divisive armed conflict in Southeast Asia.,https://m.media-amazon.com/images/M/MV5BZmY2NGMyY2EtMjJiMS00MmFlLTk1MmItZDA1NTQ0ODg0MDA4XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,9.1,28228,15,"Documentary, History, War",
Shingeki no Kyojin,https://www.imdb.com/title/tt2560140/,"After his hometown is destroyed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",https://m.media-amazon.com/images/M/MV5BNDFjYTIxMjctYTQ2ZC00OGQ4LWE3OGYtNDdiMzNiNDZlMDAwXkEyXkFqcGdeQXVyNzI3NjY3NjQ@._V1_.jpg,9.1,524415,15,"Animation, Action, Adventure",
Batman: The Animated Series,https://www.imdb.com/title/tt0103359/,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,https://m.media-amazon.com/images/M/MV5BZmVkNDc3YjQtZDMzOS00MTNjLTljNzUtZDhjYWQxMmVlNjE5XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_.jpg,9.0,118025,PG,"Animation, Action, Adventure",
The Office,https://www.imdb.com/title/tt0386676/,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, tedium and romance.",https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_.jpg,9.0,720480,PG,Comedy,
The Blue Planet,https://www.imdb.com/title/tt0296310/,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world&apos;s oceans.",https://m.media-amazon.com/images/M/MV5BMjI2NzVhM2UtODZlNS00Nzk1LTk4NDQtYTc0YWU4ODNlNGNjXkEyXkFqcGdeQXVyNjcwMzExMzU@._V1_.jpg,9.0,42883,E,Documentary,
Arcane: League of Legends,https://www.imdb.com/title/tt11126994/,"Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League of Legends champions and the power that will tear them apart.",https://m.media-amazon.com/images/M/MV5BOWJhYjdjNWEtMWFmNC00ZjNkLThlZGEtN2NkM2U3NTVmMjZkXkEyXkFqcGc@._V1_.jpg,9.0,277097,15,"Animation, Action, Adventure",
Scam 1992: The Harshad Mehta Story,https://www.imdb.com/title/tt12392504/,"The rise and fall of Harshad Mehta, a stockbroker who single-handedly took the stock market to great heights, is depicted.",https://m.media-amazon.com/images/M/MV5BNjgxZTMxNmQtZGFkZS00NDUyLTllMzYtOTE0ZjdlMjM1ZWU0XkEyXkFqcGdeQXVyMTAyMTE1MDA1._V1_.jpg,9.2,158395,15,"Biography, Crime, Drama",
Better Call Saul,https://www.imdb.com/title/tt3032476/,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,https://m.media-amazon.com/images/M/MV5BZDA4YmE0OTYtMmRmNS00Mzk2LTlhM2MtNjk4NzBjZGE1MmIyXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_.jpg,9.0,656014,PG,"Crime, Drama",
